,altura_ind,peso_ind,altura_lanzamiento,long_pulgar,long_medio,genero,edad,distancia_ojo_mano,cara_inicial,cara_final,genero_masc,genero_fem,cara_ini_sol,cara_ini_aquila,cara_fin_sol,cara_fin_aquila
0,1.59,70,107,6.5,8.3,femenino,28,61,sol,sol,0,0,0,0,0,0
1,1.59,70,107,6.5,8.3,femenino,28,61,aguila,sol,0,0,1,0,0,0
2,1.59,70,107,6.5,8.3,femenino,28,61,sol,sol,0,0,0,0,0,0
3,1.59,70,107,6.5,8.3,femenino,28,61,aguila,aguila,0,0,1,0,1,0
4,1.59,70,107,6.5,8.3,femenino,28,61,aguila,aguila,0,0,1,0,1,0
5,1.59,70,107,6.5,8.3,femenino,28,61,aguila,sol,0,0,1,0,0,0
6,1.59,70,107,6.5,8.3,femenino,28,61,Sol,aguila,0,0,1,0,1,0
7,1.59,70,107,6.5,8.3,femenino,28,61,aguila,aguila,0,0,1,0,1,0
8,1.59,70,107,6.5,8.3,femenino,28,61,sol,aguila,0,0,0,0,1,0
9,1.59,70,107,6.5,8.3,femenino,28,61,aguila,sol,0,0,1,0,0,0
10,1.58,68,102,6.5,7.7,femenino,24,45,aguila,aguila,0,0,1,0,1,0
11,1.58,68,102,6.5,7.7,femenino,24,45,sol,sol,0,0,0,0,0,0
12,1.58,68,102,6.5,7.7,femenino,24,45,aguila,aguila,0,0,1,0,1,0
13,1.58,68,102,6.5,7.7,femenino,24,45,sol,aguila,0,0,0,0,1,0
14,1.58,68,102,6.5,7.7,femenino,24,45,aguila,sol,0,0,1,0,0,0
15,1.58,68,102,6.5,7.7,femenino,24,45,sol,sol,0,0,0,0,0,0
16,1.58,68,102,6.5,7.7,femenino,24,45,aguila,sol,0,0,1,0,0,0
17,1.58,68,102,6.5,7.7,femenino,24,45,sol,sol,0,0,0,0,0,0
18,1.58,68,102,6.5,7.7,femenino,24,45,aguila,sol,0,0,1,0,0,0
19,1.58,68,102,6.5,7.7,femenino,24,45,sol,aguila,0,0,0,0,1,0
20,1.52,53,98,6.4,7.5,femenino,35,49,aguila,sol,0,0,1,0,0,0
21,1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila,0,0,0,0,1,0
22,1.52,53,98,6.4,7.5,femenino,35,49,aguila,aguila,0,0,1,0,1,0
23,1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila,0,0,0,0,1,0
24,1.52,53,98,6.4,7.5,femenino,35,49,aguila,aguila,0,0,1,0,1,0
25,1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila,0,0,0,0,1,0
26,1.52,53,98,6.4,7.5,femenino,35,49,aguila,sol,0,0,1,0,0,0
27,1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila,0,0,0,0,1,0
28,1.52,53,98,6.4,7.5,femenino,35,49,aguila,sol,0,0,1,0,0,0
29,1.52,53,98,6.4,7.5,femenino,35,49,sol,sol,0,0,0,0,0,0
30,1.79,88,119,3.0,9.0,masculino,37,58,aguila,sol,1,1,1,0,0,0
31,1.79,88,119,3.0,9.0,masculino,37,58,sol,sol,1,1,0,0,0,0
32,1.79,88,119,3.0,9.0,masculino,37,58,aguila,sol,1,1,1,0,0,0
33,1.79,88,119,3.0,9.0,masculino,37,58,sol,sol,1,1,0,0,0,0
34,1.79,88,119,3.0,9.0,masculino,37,58,aguila,sol,1,1,1,0,0,0
35,1.79,88,119,3.0,9.0,masculino,37,58,sol,aguila,1,1,0,0,1,0
36,1.79,88,119,3.0,9.0,masculino,37,58,aguila,sol,1,1,1,0,0,0
37,1.79,88,119,3.0,9.0,masculino,37,58,sol,sol,1,1,0,0,0,0
38,1.79,88,119,3.0,9.0,masculino,37,58,aguila,aguila,1,1,1,0,1,0
39,1.79,88,119,3.0,9.0,masculino,37,58,sol,sol,1,1,0,0,0,0
40,1.6,68,34,6.5,8.0,femenino,63,59,aguila,aguila,0,0,1,0,1,0
41,1.6,68,34,6.5,8.0,femenino,63,59,sol,sol,0,0,0,0,0,0
42,1.6,68,34,6.5,8.0,femenino,63,59,aguila,aguila,0,0,1,0,1,0
43,1.6,68,34,6.5,8.0,femenino,63,59,sol,sol,0,0,0,0,0,0
44,1.6,68,34,6.5,8.0,femenino,63,59,aguila,sol,0,0,1,0,0,0
45,1.6,68,34,6.5,8.0,femenino,63,59,sol,aguila,0,0,0,0,1,0
46,1.6,68,34,6.5,8.0,femenino,63,59,aguila,aguila,0,0,1,0,1,0
47,1.6,68,34,6.5,8.0,femenino,63,59,sol,aguila,0,0,0,0,1,0
48,1.6,68,34,6.5,8.0,femenino,63,59,aguila,sol,0,0,1,0,0,0
49,1.6,68,34,6.5,8.0,femenino,63,59,sol,sol,0,0,0,0,0,0
50,1.5,40,90,2.5,7.0,masculino,8,32,sol,sol,1,1,0,0,0,0
51,1.45,49,85,3.0,6.5,femenino,9,30,aguila,aguila,0,0,1,0,1,0
52,1.6,88,120,3.5,8.0,femenino,41,34,sol,sol,0,0,0,0,0,0
53,1.53,47,120,2.3,3.3,femenino,20,30,sol,sol,0,0,0,0,0,0
54,1.78,77,130,6.0,7.5,masculino,19,27,aguila,sol,1,1,1,0,0,0
55,1.74,65,100,3.0,4.0,masculino,24,30,sol,sol,1,1,0,0,0,0
56,1.7,55,100,3.0,5.0,femenino,24,15,sol,sol,0,0,0,0,0,0
57,1.64,63,100,5.0,8.0,femenino,21,20,aguila,aguila,0,0,1,0,1,0
58,1.8,110,120,7.0,10.0,masculino,31,20,sol,sol,1,1,0,0,0,0
59,1.77,77,110,6.5,7.9,masculino,22,48,sol,aguila,1,1,0,0,1,0
60,1.65,70,100,5.0,7.5,femenino,22,30,sol,aguila,0,0,0,0,1,0
61,1.7,74,126,6.0,8.5,masculino,22,36,sol,aguila,1,1,0,0,1,0
62,1.7,74,126,6.0,8.5,masculino,22,36,sol,aguila,1,1,0,0,1,0
63,1.7,74,126,6.0,8.5,masculino,22,36,sol,aguila,1,1,0,0,1,0
64,1.7,74,126,6.0,8.5,masculino,22,36,aguila,sol,1,1,1,0,0,0
65,1.7,74,126,6.0,8.5,masculino,22,36,aguila,sol,1,1,1,0,0,0
66,1.7,74,126,6.0,8.5,masculino,22,36,sol,aguila,1,1,0,0,1,0
67,1.7,74,126,6.0,8.5,masculino,22,36,aguila,sol,1,1,1,0,0,0
68,1.7,74,126,6.0,8.5,masculino,22,36,aguila,sol,1,1,1,0,0,0
69,1.7,74,126,6.0,8.5,masculino,22,36,aguila,aguila,1,1,1,0,1,0
70,1.7,74,126,6.0,8.5,masculino,22,36,aguila,aguila,1,1,1,0,1,0
71,1.7,74,126,6.0,8.5,masculino,22,36,aguila,sol,1,1,1,0,0,0
72,1.61,48,122,5.5,8.0,femenino,13,37,sol,aguila,0,0,0,0,1,0
73,1.61,48,122,5.5,8.0,femenino,13,37,aguila,sol,0,0,1,0,0,0
74,1.61,48,122,5.5,8.0,femenino,13,37,aguila,sol,0,0,1,0,0,0
75,1.61,48,122,5.5,8.0,femenino,13,37,sol,sol,0,0,0,0,0,0
76,1.61,48,122,5.5,8.0,femenino,13,37,sol,sol,0,0,0,0,0,0
77,1.61,48,122,5.5,8.0,femenino,13,37,aguila,sol,0,0,1,0,0,0
78,1.61,48,122,5.5,8.0,femenino,13,37,sol,sol,0,0,0,0,0,0
79,1.61,48,122,5.5,8.0,femenino,13,37,sol,sol,0,0,0,0,0,0
80,1.61,48,122,5.5,8.0,femenino,13,37,sol,aguila,0,0,0,0,1,0
81,1.61,48,122,5.5,8.0,femenino,13,37,aguila,aguila,0,0,1,0,1,0
82,1.61,48,122,5.5,8.0,femenino,13,37,aguila,aguila,0,0,1,0,1,0
83,1.67,80,121,6.0,8.5,femenino,41,45,aguila,aguila,0,0,1,0,1,0
84,1.67,80,121,6.0,8.5,femenino,41,45,sol,sol,0,0,0,0,0,0
85,1.67,80,121,6.0,8.5,femenino,41,45,sol,sol,0,0,0,0,0,0
86,1.67,80,121,6.0,8.5,femenino,41,45,aguila,sol,0,0,1,0,0,0
87,1.67,80,121,6.0,8.5,femenino,41,45,aguila,aguila,0,0,1,0,1,0
88,1.67,80,121,6.0,8.5,femenino,41,45,sol,sol,0,0,0,0,0,0
89,1.67,80,121,6.0,8.5,femenino,41,45,sol,aguila,0,0,0,0,1,0
90,1.67,80,121,6.0,8.5,femenino,41,45,aguila,sol,0,0,1,0,0,0
91,1.67,80,121,6.0,8.5,femenino,41,45,sol,sol,0,0,0,0,0,0
92,1.67,80,121,6.0,8.5,femenino,41,45,sol,sol,0,0,0,0,0,0
93,1.67,80,121,6.0,8.5,femenino,41,45,sol,sol,0,0,0,0,0,0
94,1.83,88,119,6.5,9.0,masculino,22,42,aguila,sol,1,1,1,0,0,0
95,1.83,88,119,6.5,9.0,masculino,22,42,aguila,sol,1,1,1,0,0,0
96,1.83,88,119,6.5,9.0,masculino,22,42,aguila,sol,1,1,1,0,0,0
97,1.83,88,119,6.5,9.0,masculino,22,42,aguila,aguila,1,1,1,0,1,0
98,1.83,88,119,6.5,9.0,masculino,22,42,aguila,aguila,1,1,1,0,1,0
99,1.83,88,119,6.5,9.0,masculino,22,42,aguila,sol,1,1,1,0,0,0
